run_id,tier_id,seed,budget_index,budget,timing_repetitions,cold_seconds,warm_seconds,speedup_cold_over_warm,cold_objective,warm_objective,objective_difference,consistency_tolerance,cold_iterations,warm_iterations,cold_initial_scenarios,warm_initial_scenarios,cold_final_scenarios,warm_final_scenarios,cold_master_seconds,warm_master_seconds,cold_oracle_seconds,warm_oracle_seconds,cold_peak_memory_mb,warm_peak_memory_mb,cold_lower_bound,warm_lower_bound,cold_upper_bound,warm_upper_bound,cold_gap,warm_gap,cold_master_solve_count,warm_master_solve_count,cold_recourse_lp_solve_count,warm_recourse_lp_solve_count,warm_reused_scenario_count,warm_scenario_reuse_rate,training_scenario_count
m0e3_formal_v1_20260823_M0_E3_P1_seed2026072401,P1,2026072401,1,7174.932078431933,1,49.9610305999995,16.587443500000518,3.011978946604879,88385.47197353466,88385.47197353466,0.0,0.008848547197353465,3,1,4,6,6,6,0.34674919999815756,0.13144169999941369,48.46981799999776,15.392390900000464,128.93359375,113.90625,88385.47197353464,88385.47197353464,88385.47197353466,88385.47197353466,1.4551915228366852e-11,1.4551915228366852e-11,3,1,1500,500,3,0.5,500
m0e3_formal_v1_20260823_M0_E3_P1_seed2026072401,P1,2026072401,2,8479.465183601376,1,49.475269300000946,16.26243539999996,3.0423038175451307,61302.201984847445,61302.201984847445,0.0,0.0061402201984847435,3,1,4,6,6,6,0.32648859999972046,0.128623399999924,48.034225999996124,15.077367499998218,120.546875,125.90625,61302.201984847445,61302.201984847445,61302.201984847445,61302.201984847445,0.0,0.0,3,1,1500,500,3,0.5,500
m0e3_formal_v1_20260823_M0_E3_P1_seed2026072402,P1,2026072402,0,5870.3989732624905,1,16.413772100000642,16.2303107000007,1.0113036283402717,172894.68749525005,172894.68749525005,0.0,0.017299468749525003,1,1,2,2,2,2,0.0665673000003153,0.06508389999726205,15.314010599999165,15.173082400000567,120.1875,113.0,172894.68749525008,172894.68749525008,172894.68749525005,172894.68749525005,-2.9103830456733704e-11,-2.9103830456733704e-11,1,1,500,500,0,0.0,500
m0e3_formal_v1_20260823_M0_E3_P1_seed2026072402,P1,2026072402,1,7174.932078431933,1,16.187031699999352,16.353920599998673,0.989795174864715,145465.17935463157,145465.17935463157,0.0,0.014556517935463156,1,1,2,2,2,2,0.06797060000099009,0.06427350000012666,15.063037700001587,15.240682899999229,110.13671875,111.56640625,145465.1793546316,145465.1793546316,145465.17935463157,145465.17935463157,-2.9103830456733704e-11,-2.9103830456733704e-11,1,1,500,500,1,0.5,500
m0e3_formal_v1_20260823_M0_E3_P1_seed2026072402,P1,2026072402,2,8479.465183601376,1,16.547129400001722,16.361313299999892,1.011357040635719,118189.50762042991,118189.50762042991,0.0,0.01182895076204299,1,1,2,2,2,2,0.062150400000973605,0.06104529999720398,15.460056500000064,15.28632640000069,111.86328125,115.5390625,118189.5076204299,118189.5076204299,118189.50762042991,118189.50762042991,1.4551915228366852e-11,1.4551915228366852e-11,1,1,500,500,1,0.5,500
m0e3_formal_v1_20260823_M0_E3_P1_seed2026072403,P1,2026072403,0,5870.3989732624905,1,16.170842300001823,16.288865599999554,0.9927543573078697,150287.05242696733,150287.05242696733,0.0,0.015038705242696732,1,1,2,2,2,2,0.06953140000041458,0.06390529999771388,15.042337700000644,15.191901899997902,110.43359375,113.91015625,150287.05242696733,150287.05242696733,150287.05242696733,150287.05242696733,0.0,0.0,1,1,500,500,0,0.0,500
m0e3_formal_v1_20260823_M0_E3_P1_seed2026072403,P1,2026072403,1,7174.932078431933,1,16.258631900000182,16.31871830000091,0.9963179461219865,122950.04090412188,122950.04090412188,0.0,0.012305004090412188,1,1,2,2,2,2,0.05960699999923236,0.06687050000255113,15.167563200000586,15.24802500000078,109.84375,116.6328125,122950.0409041219,122950.0409041219,122950.04090412188,122950.04090412188,-1.4551915228366852e-11,-1.4551915228366852e-11,1,1,500,500,1,0.5,500
m0e3_formal_v1_20260823_M0_E3_P1_seed2026072403,P1,2026072403,2,8479.465183601376,1,16.309938800000964,16.325773300002766,0.9990300918853382,95744.12194710999,95744.12194710999,0.0,0.009584412194710998,1,1,2,2,2,2,0.06300460000056773,0.061385900000459515,15.22104820000095,15.259407100002136,113.1171875,112.3984375,95744.12194710998,95744.12194710998,95744.12194710999,95744.12194710999,1.4551915228366852e-11,1.4551915228366852e-11,1,1,500,500,1,0.5,500
m0e3_formal_v1_20260823_M0_E3_P1_seed2026072404,P1,2026072404,0,5870.3989732624905,1,32.773208700000396,32.95711149999988,0.994419935739833,122797.54046947352,122797.54046947352,0.0,0.01228975404694735,2,2,4,4,5,5,0.2233561999964877,0.22432860000117216,31.46795750000092,31.70031519999975,121.49609375,122.57421875,122797.54046947352,122797.54046947352,122797.54046947352,122797.54046947352,0.0,0.0,2,2,1000,1000,0,0.0,500
m0e3_formal_v1_20260823_M0_E3_P1_seed2026072404,P1,2026072404,1,7174.932078431933,1,32.84737130000212,16.392525700000988,2.003801726539318,95500.23528758451,95500.23528758451,0.0,0.00956002352875845,2,1,4,5,5,5,0.2144507999983034,0.10845060000065132,31.536365300002217,15.219720000000962,119.3515625,125.12109375,95500.23528758448,95500.23528758448,95500.23528758451,95500.23528758451,2.9103830456733704e-11,2.9103830456733704e-11,2,1,1000,500,1,0.2,500
